ACCOUNT_ID,SUBJECT_LINE,SENT_COUNT,DELIVERED_COUNT,OPENED_COUNT,UNIQUE_OPENED_COUNT,UNIQUE_BOUNCE_COUNT,Open Rate,char length of subject line
123,Sunny days = these (under $20!) sandals.,2162143,2161143,360734,297371,1000,13.76%,40
123,Surprise! Up to $40 off starts tonight.,7283931,7282931,2307830,1509704,1000,20.73%,39
123,Survey time: Let's talk shopping.,6531,5531,1937,1409,1000,25.47%,33
123,THE brands for cold/warm/whatever.,2067290,2066290,398781,324632,1000,15.71%,34
123,THE sandals to sport.,5549581,5548581,1129695,905491,1000,16.32%,21
123,THE shade of the season.,713003,712003,132677,107310,1000,15.07%,24
123,THE summer slide.,926330,925330,180861,144903,1000,15.66%,17
123,THESE HEELS > candy,7150930,7149930,1277696,1077479,1000,15.07%,19
123,THESE are the booties of the season.,1154657,1153657,169894,138398,1000,12.00%,36
123,THEY'RE HERE!,5143238,5142238,1084193,892048,1000,17.35%,13
123,THIS designer name. THAT warehouse price.,878827,877827,163510,130284,1000,14.84%,41
123,THIS or THAT? You vote!,6456859,6455859,788341,696124,1000,10.78%,23
123,THIS.IS.IT. Last Chance styles under $40!,16153294,16152294,3349285,2605716,1000,16.13%,41
123,THOUSANDS of new clearance styles added + 3X points!,836387,835387,164759,133200,1000,15.94%,52
123,TODAY ONLY: $5 off when you use the app.,938664,937664,125618,108953,1000,11.62%,40
123,TODAY ONLY: 20% off for teachers!,1073346,1072346,217771,163369,1000,15.23%,33
123,TODAY ONLY: 25% off this month's picks.,925927,924927,187136,151272,1000,16.36%,39
123,TODAY ONLY: FREE gift + 25% off!,6729030,6728030,873534,733450,1000,10.90%,32
123,TODAY ONLY: Free shipping on anything!,147443,146443,32958,26552,1000,18.13%,38
123,TODAY ONLY: Free shipping on anything.,4330301,4329301,1023428,813877,1000,18.80%,38
123,TODAY: 25% OFF + FREE matching backpack.,78224,77224,34437,24421,1000,31.62%,40
123,TODAY: Get $10 off.,3826945,3825945,1125038,797547,1000,20.85%,19
123,TODAY: Join us for The Sneaker Remix Party!,4926085,4925085,766713,633632,1000,12.87%,43
123,TODAY: Private shopping event at your store!,6559521,6558521,1398461,1080914,1000,16.48%,44
123,TODAY: Tax free + $10 off.,59003,58003,16272,11648,1000,20.08%,26
123,TODAY: party with us all day (and night)!,21468,20468,5407,4002,1000,19.55%,41
123,TOMORROW: Fall Preview Pop-Up Party!,3062839,3061839,863378,666633,1000,21.77%,36
123,TONIGHT: Fall Preview Pop-Up Party + $10 off!,2978728,2977728,754391,533625,1000,17.92%,45
123,TONIGHT: Fall Preview Pop-Up Party!,277967,276967,60657,49073,1000,17.72%,35
123,TONIGHT: the Summer Pop-Up Party is ON!,169234,168234,38452,29877,1000,17.76%,39
123,TONS of stuff added to clearance!,2611117,2610117,361523,313894,1000,12.03%,33
123,Take $10 off (for only 2 more days)!,781709,780709,129527,99577,1000,12.75%,36
123,Take $10 off + suit up in cap toe oxfords.,1144106,1143106,213466,159478,1000,13.95%,42
123,Take $10 off + up to 60% off clearance!,6011582,6010582,1210697,902833,1000,15.02%,39
123,Take $10 off RIGHT NOW.,2329799,2328799,492257,365275,1000,15.69%,23
123,Take $10 off boots!,152358,151358,35275,24919,1000,16.46%,19
123,Take $10 off right now!,824389,823389,140703,111793,1000,13.58%,23
123,Take $10 off right now.,43745,42745,10863,7320,1000,17.12%,23
123,Take $10 off the styles everyone loves.,6514361,6513361,1125803,872095,1000,13.39%,39
123,Take $10 off these casual boots and   booties.,6129931,6128931,1347447,971343,1000,15.85%,46
123,Take $10 off these exclusives.,6450208,6449208,1325192,984858,1000,15.27%,30
123,Take $10 off those shoes you want.,4784838,4783838,1076195,791084,1000,16.54%,34
123,Take $10 off. Sound good?,3746865,3745865,1051735,744536,1000,19.88%,25
123,Take $10 off. You know you want to.,3407750,3406750,1058666,774536,1000,22.74%,35
123,Take $20 off boots!,576132,575132,173877,106991,1000,18.60%,19
123,Take $20 off right now.,486380,485380,123045,81158,1000,16.72%,23
123,Take $20 off your new fave shoes.,54023,53023,15263,9380,1000,17.69%,33
123,Take 20% off alllll this stuff.,2674710,2673710,359832,301594,1000,11.28%,31
123,Take a jog on the wild side.,891660,890660,187715,152222,1000,17.09%,28
